GeneID	Tissue	Expr
ENSG00000162438.11	Pancreas	1783.0
ENSG00000162438.11	Pancreas	4015.0
ENSG00000162438.11	Pancreas	3346.0
ENSG00000162438.11	Pancreas	2258.0
ENSG00000162438.11	Pancreas	2628.0
ENSG00000162438.11	Pancreas	2708.0
ENSG00000162438.11	Pancreas	2370.0
ENSG00000162438.11	Pancreas	4398.0
ENSG00000162438.11	Pancreas	3012.0
ENSG00000162438.11	Pancreas	2255.0
ENSG00000162438.11	Pancreas	6278.0
ENSG00000162438.11	Pancreas	4734.0
ENSG00000162438.11	Pancreas	4222.0
ENSG00000162438.11	Pancreas	2587.0
ENSG00000162438.11	Pancreas	3086.0
ENSG00000162438.11	Pancreas	3328.0
ENSG00000162438.11	Pancreas	2865.0
ENSG00000162438.11	Pancreas	4518.0
ENSG00000162438.11	Pancreas	7806.0
ENSG00000162438.11	Pancreas	4633.0
ENSG00000162438.11	Pancreas	4040.0
ENSG00000162438.11	Pancreas	2388.0
ENSG00000162438.11	Pancreas	2715.0
ENSG00000162438.11	Pancreas	2020.0
ENSG00000162438.11	Pancreas	4715.0
ENSG00000162438.11	Pancreas	1543.0
ENSG00000162438.11	Pancreas	1543.0
ENSG00000162438.11	Pancreas	1569.0
ENSG00000162438.11	Pancreas	823.5
ENSG00000162438.11	Pancreas	5505.0
ENSG00000162438.11	Pancreas	3277.0
ENSG00000162438.11	Pancreas	3116.0
ENSG00000162438.11	Pancreas	1158.0
ENSG00000162438.11	Pancreas	1300.0
ENSG00000162438.11	Pancreas	2291.0
ENSG00000162438.11	Pancreas	2667.0
ENSG00000162438.11	Pancreas	7164.0
ENSG00000162438.11	Pancreas	1953.0
ENSG00000162438.11	Pancreas	3971.0
ENSG00000162438.11	Pancreas	774.9
ENSG00000162438.11	Pancreas	4057.0
ENSG00000162438.11	Pancreas	5140.0
ENSG00000162438.11	Pancreas	4475.0
ENSG00000162438.11	Pancreas	4937.0
ENSG00000162438.11	Pancreas	5994.0
ENSG00000162438.11	Pancreas	8029.0
ENSG00000162438.11	Pancreas	4499.0
ENSG00000162438.11	Pancreas	3098.0
ENSG00000162438.11	Pancreas	1718.0
ENSG00000162438.11	Pancreas	2181.0
