SAMPID	Gene	h1	h2	SMTSD	is_eGene
GTEX-OIZI-0008	ENSG00000001036.13	96	76	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000003056.7	42	48	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000016864.18	69	69	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000020922.12	40	39	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000023191.16	150	178	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000024422.11	317	298	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000035141.7	33	29	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000037757.13	21	38	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000037897.16	24	33	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000048162.20	84	129	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000050130.17	25	33	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000051523.10	96	145	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000057608.16	132	113	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000062716.12	75	58	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000065135.10	54	44	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000067064.10	37	67	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000067082.14	111	153	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000068903.19	27	28	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000074071.14	134	122	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000074201.8	176	149	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000075239.13	85	67	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000083937.8	47	47	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000085063.14	882	824	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000085719.12	30	37	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000086504.15	70	81	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000087074.7	52	49	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000088832.16	426	399	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000090054.13	41	37	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000090487.10	49	53	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000092094.10	26	27	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000095380.10	43	40	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000100138.13	66	64	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000100220.11	90	72	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000100234.11	33	33	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000100353.17	330	291	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000100462.15	51	37	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000100554.11	53	53	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000100603.13	54	63	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000100650.15	28	29	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000101084.17	80	100	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000101166.15	57	24	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000101220.17	50	33	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000101335.9	178	99	Cells - Cultured fibroblasts	TRUE
