t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D
FBtr0114258,CR41571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0346770,CG45784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302440,CR12798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302347,CR40182,23.712564,11.967821,20.767498,13.566818,18.802116,26.802691,22.819895,11.682728,21.894249,13.922059,16.482141,12.62268,31.800016,22.883186,14.330216,17.20257
FBtr0346769,CG45783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0345282,CR45220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0345281,CR45220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284474
FBtr0300207,spok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113885,Parp,10.997173,0,0,0,14.805335,0,17.601667,10.729349,0,0,14.888651,14.518989,20.34367,4.087385,0,25.284622
FBtr0301810,Alg-2,19.067924,0,14.83237,27.793905,22.29023,7.846396,13.839143,12.905621,18.570707,2.919183,18.402807,26.431841,27.464781,7.432775,7.349162,22.792486
FBtr0113895,Tim17b,6.315716,3.93539,6.244336,69.942917,67.208557,7.60597,74.979057,53.740307,44.747662,16.834093,52.928318,77.950165,80.80558,31.863932,49.121342,77.608521
FBtr0345179,Tim17b,119.325905,11.631035,120.137291,75.778061,72.815582,123.849213,81.234352,59.657963,48.480839,18.238514,57.343983,86.68631,87.546967,34.522255,53.219402,84.9366
FBtr0301812,CG41128,6.421,0,10.366037,22.99893,25.152847,21.537817,34.438099,17.577929,14.679211,4.000917,18.030527,29.636564,33.500099,10.934458,16.522137,36.918327
FBtr0113990,CG41099,26.929455,0,0,28.79262,29.601717,0,21.333294,5.26425,17.742254,0,38.972218,25.751348,55.026825,0,0,0
FBtr0113991,CG41099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0344573,CG41099,0,0,0,6.290786,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113989,CG41099,8.754889,0,25.072079,16.968779,5.586432,0,0,13.205288,12.339256,0,0,0,4.90731,0,14.397744,33.321011
FBtr0336454,CG42402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0339974,CG42402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0301942,CG42402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113694,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302850,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113687,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113690,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113692,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302846,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302847,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302848,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302849,Gfat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0114267,CR41601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0333189,CG40198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0301809,CG40198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078962,CG12581,0,0,0,0,10.948528,28.540129,113.997124,149.225754,0,0,0,0,21.171267,23.284073,130.954559,144.459808
FBtr0078961,CG12581,0,0,0,0,0,0,3.72249,7.730331,0,0,0,0,0,1.406703,7.087442,5.916852
FBtr0308946,CR33294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078989,Dsk,0,0,0,0,0.443229,0,0.653665,0.49563,0,0,0,0,0,0.5506,0.576127,0
FBtr0308945,CR33294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078964,CG12582,10.934341,18.783516,25.361502,16.855947,16.798346,0,11.090428,0,23.064413,8.445495,28.36524,19.938072,13.739297,0,0,9.097745
FBtr0306022,CG12582,4.575307,0,0,9.737659,0,0,0,0,0,20.303524,0,0,0,0,0,0
FBtr0336703,CG12582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0336704,CG12582,0.450122,3.098454,4.924204,0,0,0,0,0,5.158787,1.024153,1.625049,0,0,0,0,0
FBtr0336702,CG12582,4.699188,1.633699,1.867632,1.631266,2.342819,0,1.125004,0,2.023408,1.163203,1.631189,4.117351,2.231123,0,0,3.266388
FBtr0078988,CG14636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0111206,CG14636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078965,aux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078987,CG31516,0,0,0,0,0.090718,0,0.297311,0.37196,0,0,0,0,0,0,0.229288,0.251568
FBtr0078966,aux,62.077541,33.338779,80.078506,77.130142,68.991005,50.090199,29.70668,35.52359,55.995461,61.775593,69.312782,62.59605,74.38221,61.044556,53.781879,33.205692
FBtr0336705,aux,1.415343,1.962644,1.704753,0.810712,2.286014,0,0.773109,0.737158,0,0,1.748935,0,3.50355,0,0,0.664401
FBtr0336706,aux,4.658643,0,0,0,0,0,0,0,0,0,0,2.519502,0,0,0,0
FBtr0078986,DhpD,0,22.707514,11.29895,0,0,0,2.254515,0,24.665703,19.968599,13.832739,5.744788,0,0,0,0
FBtr0078985,CG14641,99.437752,96.304817,118.514259,125.181297,183.233566,214.952972,246.845871,248.65593,86.12571,103.196693,112.972404,127.725517,166.35199,173.359863,248.439011,238.851013
FBtr0078967,abs,22.42108,22.048744,27.867722,28.795563,37.006672,34.876389,41.596252,41.394508,22.798773,24.337334,24.43556,28.268393,33.013962,40.610092,46.737057,40.421635
FBtr0078968,Gel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078969,Gel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078973,Gel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309256,Gel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0336707,Gel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078971,Gel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309257,Gel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0089688,CG14642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309258,CG14642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0089687,CG14642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0112501,CG34305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113190,TwdlU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078975,TwdlF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0336709,TwdlG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078982,TwdlG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0346145,TwdlG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078981,CG14644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0336708,CG14644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078976,TwdlV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078977,Or82a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0336480,CG1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0336481,CG1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113191,CG9766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0346235,CR45597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078897,cpx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0336482,cpx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078898,cpx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0078899,cpx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0301768,cpx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0301769,cpx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
