t_name,male_10,male_11,male_12,male_13,male_14,female_10,female_11,female_12,female_13,female_14
FBtr0114258,0,0,0,0,0,0,0,0,0,0
FBtr0346770,0,0,0,0,0,0,0,0,0,0
FBtr0302440,0,0,0,0,0,0,0,0,0,0
FBtr0302347,23.712564,11.967821,20.767498,13.566818,18.802116,21.894249,13.922059,16.482141,12.62268,31.800016
FBtr0346769,0,0,0,0,0,0,0,0,0,0
FBtr0345282,0,0,0,0,0,0,0,0,0,0
FBtr0345281,0,0,0,0,0,0,0,0,0,0
FBtr0300207,0,0,0,0,0,0,0,0,0,0
FBtr0113885,10.997173,0,0,0,14.805335,0,0,14.888651,14.518989,20.34367
FBtr0301810,19.067924,0,14.83237,27.793905,22.29023,18.570707,2.919183,18.402807,26.431841,27.464781
FBtr0113895,6.315716,3.93539,6.244336,69.942917,67.208557,44.747662,16.834093,52.928318,77.950165,80.80558
FBtr0345179,119.325905,11.631035,120.137291,75.778061,72.815582,48.480839,18.238514,57.343983,86.68631,87.546967
FBtr0301812,6.421,0,10.366037,22.99893,25.152847,14.679211,4.000917,18.030527,29.636564,33.500099
FBtr0113990,26.929455,0,0,28.79262,29.601717,17.742254,0,38.972218,25.751348,55.026825
FBtr0113991,0,0,0,0,0,0,0,0,0,0
FBtr0344573,0,0,0,6.290786,0,0,0,0,0,0
FBtr0113989,8.754889,0,25.072079,16.968779,5.586432,12.339256,0,0,0,4.90731
FBtr0336454,0,0,0,0,0,0,0,0,0,0
FBtr0339974,0,0,0,0,0,0,0,0,0,0
FBtr0301942,0,0,0,0,0,0,0,0,0,0
FBtr0113694,0,0,0,0,0,0,0,0,0,0
FBtr0302850,0,0,0,0,0,0,0,0,0,0
FBtr0113687,0,0,0,0,0,0,0,0,0,0
FBtr0113690,0,0,0,0,0,0,0,0,0,0
FBtr0113692,0,0,0,0,0,0,0,0,0,0
FBtr0302846,0,0,0,0,0,0,0,0,0,0
FBtr0302847,0,0,0,0,0,0,0,0,0,0
FBtr0302848,0,0,0,0,0,0,0,0,0,0
FBtr0302849,0,0,0,0,0,0,0,0,0,0
FBtr0114267,0,0,0,0,0,0,0,0,0,0
FBtr0333189,0,0,0,0,0,0,0,0,0,0
FBtr0301809,0,0,0,0,0,0,0,0,0,0
FBtr0078962,0,0,0,0,10.948528,0,0,0,0,21.171267
FBtr0078961,0,0,0,0,0,0,0,0,0,0
FBtr0308946,0,0,0,0,0,0,0,0,0,0
